sector,n,median_1m,median_3m,mean_3m,concentration,pct_above_50dma,pct_above_200dma,pct_at_52w_high,median_score
Health Care,61,-0.024160952070240604,0.14674696035117196,0.15862132771869014,0.01187436736751818,0.5573770491803278,0.7049180327868853,0.0,0.6551605421468435
Energy,21,-0.01630895413743194,0.11786734402319121,0.18671041715760797,0.06884307313441676,0.6190476190476191,0.7619047619047619,0.09523809523809523,0.6755801222996609
Financials,76,-0.04065179389039014,0.04222484901479284,0.05848420196736932,0.01625935295257648,0.17105263157894737,0.6842105263157895,0.0,0.5728756823565764
Information Technology,78,-0.004526304356840705,0.03640447560830162,0.041702736678126184,0.005298261069824561,0.5769230769230769,0.6794871794871795,0.0,0.555851577192601
Materials,25,-0.06279271970275913,0.020467966030463858,-0.015366700841524316,-0.03583466687198818,0.2,0.56,0.0,0.4639616545168095
Communication Services,24,-0.029035411339558115,0.00559900935507035,0.00325405636371646,-0.00234495299135389,0.5,0.4583333333333333,0.0,0.4719675902083977
Consumer Staples,35,-0.05734769561884878,0.0027765119064677712,0.005223140583483937,0.0024466286770161655,0.2571428571428571,0.4857142857142857,0.0,0.4676052765093861
Industrials,83,-0.06911315795453687,-0.03958062867458523,-0.04267850559863603,-0.0030978769240508006,0.10843373493975904,0.39759036144578314,0.0,0.40559770812114
Real Estate,30,-0.05841273719655332,-0.04231141284075557,-0.034780254153581755,0.007531158687173814,0.06666666666666667,0.43333333333333335,0.0,0.44045864280182956
Consumer Discretionary,49,-0.08896551461055358,-0.05264686763131399,-0.057752282115283764,-0.0051054144839697765,0.08163265306122448,0.24489795918367346,0.0,0.34900817492742514
Utilities,31,-0.056429471150504895,-0.07088914506298172,-0.07673160824256117,-0.005842463179579455,0.06451612903225806,0.12903225806451613,0.0,0.39184147583570805
