ticker,what,ret_1w,ret_1m,ret_3m,excess_1w,excess_1m,excess_3m
XLE,Energy,0.007336891018037139,0.0568293044212691,0.129372247321754,0.019424814165678872,0.0786835748656689,0.10093921156180019
XLV,Health Care,-0.021580618338296942,-0.003741565889910481,0.09544132419129014,-0.00949269519065521,0.018112704554489323,0.06700828843133633
XLF,Financials,-0.01841651846687775,-0.021112248157784674,0.07292411176126579,-0.006328595319236019,0.0007420222866151294,0.04449107600131197
XLC,Communication Services,0.027135597149440693,0.0223900184339183,0.03331260421792859,0.039223520297082426,0.044244288878318105,0.00487956845797477
SPY,S&P 500 (benchmark),-0.012087923147641733,-0.021854270444399804,0.028433035759953817,0.0,0.0,0.0
RSP,S&P 500 equal weight (breadth check),-0.018219203165132702,-0.03466080621734868,0.0198095371538467,-0.00613128001749097,-0.01280653577294888,-0.008623498606107116
XLK,Technology,-0.016018795490998494,-0.03402005214559267,-0.0016248328356602837,-0.003930872343356762,-0.012165781701192868,-0.0300578685956141
XLP,Consumer Staples,-0.0018917434221504825,-0.018372114314589405,-0.009487796487485989,0.01019617972549125,0.0034821561298103987,-0.037920832247439806
IWM,Russell 2000 (small cap),-0.027363960123946707,-0.05136736849387358,-0.01486715761273405,-0.015276036976304974,-0.029513098049473774,-0.04330019337268787
QQQ,Nasdaq 100 (benchmark),-0.013603022418466226,-0.03126752143842437,-0.01577710518886133,-0.0015150992708244937,-0.009413250994024569,-0.044210140948815146
XLB,Materials,-0.0371852974696496,-0.034792575932783176,-0.028769891718489315,-0.02509737432200787,-0.012938305488383373,-0.05720292747844313
XLY,Consumer Discretionary,-0.01792711793871038,-0.047277320543689494,-0.030232677676897413,-0.005839194791068647,-0.02542305009928969,-0.05866571343685123
XLI,Industrials,-0.03046734447714472,-0.08536520363572964,-0.03310208247325119,-0.018379421329502987,-0.06351093319132983,-0.06153511823320501
XLRE,Real Estate,-0.018438455899477457,-0.04432624218407655,-0.04105260469958194,-0.006350532751835725,-0.022471971739676744,-0.06948564045953576
XLU,Utilities,-0.02924795920788892,-0.050408746016179395,-0.054860915036849534,-0.017160036060247186,-0.02855447557177959,-0.08329395079680335
