sector,n,median_1m,median_3m,mean_3m,concentration,pct_above_50dma,pct_above_200dma,pct_at_52w_high,median_score
Health Care,61,-0.021080928986146885,0.10909177606753584,0.1321124658173542,0.023020689749818357,0.5409836065573771,0.7049180327868853,0.0,0.599389264638003
Energy,21,0.04589166009278811,0.07601826329319272,0.11411867784619315,0.03810041455300042,0.8095238095238095,0.8571428571428571,0.0,0.7172795001201634
Materials,25,-0.05583715598978756,0.06858397497674007,0.05020963753848168,-0.018374337438258392,0.32,0.56,0.0,0.48736109680594175
Financials,76,-0.021299016078799637,0.06419488315114386,0.08868954807088998,0.024494664919746126,0.34210526315789475,0.8026315789473685,0.0,0.5929068294785671
Information Technology,78,-0.04108399305710597,0.04302281345820147,0.04010345132356209,-0.0029193621346393778,0.5256410256410257,0.6538461538461539,0.02564102564102564,0.5247187603712478
Communication Services,24,0.011348990196644815,0.013511739143932888,-0.020144565260917676,-0.03365630440485057,0.5833333333333334,0.4583333333333333,0.0,0.5104801577764808
Industrials,83,-0.09271845557137681,-0.0034203185616908938,-0.004124269218042442,-0.0007039506563515478,0.12048192771084337,0.4578313253012048,0.0,0.4478181755759261
Consumer Staples,35,-0.03408135207968155,-0.01718815964314091,-0.009494096684241672,0.007694062958899238,0.2571428571428571,0.4857142857142857,0.02857142857142857,0.4557552557192067
Consumer Discretionary,49,-0.0770451267524549,-0.03442024776933472,-0.010354291668236777,0.024065956101097945,0.22448979591836735,0.3673469387755102,0.0,0.3487781478048241
Utilities,31,-0.020562875786480972,-0.03695193784765005,-0.03438489833570808,0.002567039511941968,0.0967741935483871,0.1935483870967742,0.0,0.4616163696913517
Real Estate,30,-0.03487316033822102,-0.06266132836648453,-0.05218506587315694,0.010476262493327587,0.03333333333333333,0.5333333333333333,0.0,0.42667837783194673
