sector,n,median_1m,median_3m,mean_3m,concentration,pct_above_50dma,pct_above_200dma,pct_at_52w_high,median_score
Health Care,61,0.0038548183283135806,0.12914194027303671,0.16707680005491515,0.03793485978187844,0.5901639344262295,0.7213114754098361,0.09836065573770492,0.639213902335748
Energy,21,-0.016158114465555595,0.09980942141171201,0.17193639442273173,0.07212697301101972,0.6190476190476191,0.7619047619047619,0.14285714285714285,0.6743138287118099
Financials,76,-0.046327386020004635,0.03763963929878189,0.04914677171832758,0.011507132419545686,0.19736842105263158,0.6447368421052632,0.0,0.53071043285535
Information Technology,78,-0.0038546642174012713,0.03425322558664179,0.04984841136995289,0.015595185783311101,0.5512820512820513,0.6538461538461539,0.05128205128205128,0.5217861052936756
Materials,25,-0.03847779543721874,0.02840956974678055,0.0005579463782936811,-0.02785162336848687,0.36,0.6,0.0,0.4995344144226624
Communication Services,24,-0.006376634124546865,0.016915925836574974,0.017320291490008837,0.00040436565343386285,0.5833333333333334,0.5416666666666666,0.0,0.5271906936290498
Consumer Staples,35,-0.03728996626477443,0.01243341957234545,0.014873928970243514,0.002440509397898064,0.37142857142857144,0.5142857142857142,0.02857142857142857,0.5141502920161896
Industrials,83,-0.07049084126946448,-0.031987905638321545,-0.03672055200352426,-0.004732646365202715,0.10843373493975904,0.40963855421686746,0.0,0.38613867240399324
Real Estate,30,-0.04925247196229371,-0.03768637145286058,-0.024264933724832276,0.013421437728028302,0.06666666666666667,0.5,0.0,0.4577831565214406
Consumer Discretionary,49,-0.07447933626669634,-0.03970590583307765,-0.0356319272778444,0.004073978555233247,0.12244897959183673,0.2653061224489796,0.02040816326530612,0.3744130112190674
Utilities,31,-0.04589135586198867,-0.05461573908614237,-0.05965707794343715,-0.005041338857294783,0.06451612903225806,0.16129032258064516,0.0,0.3999029155842422
