ticker,what,ret_1w,ret_1m,ret_3m,excess_1w,excess_1m,excess_3m
XLV,Health Care,-0.003399771584166378,0.06693393236393752,0.17731442558918942,-0.002198795283012478,0.07493315942447831,0.16022275852633205
XLF,Financials,-0.010298635279900603,-0.003800988539102157,0.13744805272744576,-0.009097658978746703,0.004198238521438635,0.1203563856645884
XLE,Energy,0.04276787050926778,0.11244015661118256,0.11683676394326903,0.04396884681042168,0.12043938367172335,0.09974509688041167
RSP,S&P 500 equal weight (breadth check),-0.015802955730001234,-0.0074013061601291286,0.04872924161509706,-0.014601979428847334,0.0005979209004116637,0.0316375745522397
XLP,Consumer Staples,-0.008577696679776148,0.0018741481500215151,0.04824066567738883,-0.007376720378622248,0.009873375210562307,0.031148998614531465
XLB,Materials,-0.013415267944288267,0.018269245441143278,0.02940119668554253,-0.012214291643134367,0.02626847250168407,0.012309529622685167
IWM,Russell 2000 (small cap),-0.016458645939527505,-0.0255211358838926,0.024469675532993618,-0.015257669638373605,-0.017521908823351806,0.007378008470136255
SPY,S&P 500 (benchmark),-0.0012009763011538999,-0.007999227060540792,0.017091667062857363,0.0,0.0,0.0
XLRE,Real Estate,-0.030161911859596824,-0.03187953697326018,0.013863509629820303,-0.028960935558442924,-0.02388030991271939,-0.00322815743303706
XLC,Communication Services,-0.0016872608149935964,0.0033916212987579186,0.005642954401218425,-0.0004862845138396965,0.011390848359298711,-0.011448712661638938
XLI,Industrials,-0.04192080354947503,-0.07306864572512406,-0.004854398795768766,-0.04071982724832113,-0.06506941866458327,-0.02194606585862613
XLY,Consumer Discretionary,-0.019631298906331973,-0.028996536297477893,-0.014059169036952368,-0.018430322605178073,-0.0209973092369371,-0.03115083609980973
XLU,Utilities,-0.019305910939835025,-0.032645713477236216,-0.017559619769198176,-0.018104934638681125,-0.024646486416695423,-0.03465128683205554
QQQ,Nasdaq 100 (benchmark),-0.002994229300410156,-0.020183720168997832,-0.04594215054625084,-0.0017932529992562563,-0.01218449310845704,-0.0630338176091082
XLK,Technology,0.004156693178994031,-0.017656436065998315,-0.0632475537012489,0.005357669480147931,-0.009657209005457523,-0.08033922076410627
