ticker,what,ret_1w,ret_1m,ret_3m,excess_1w,excess_1m,excess_3m
XLE,Energy,-0.01959881836082611,0.023170292518633895,0.16495245614670684,-0.00864651464400612,0.04726854342655429,0.15740569595176668
XLV,Health Care,0.007143729309194935,0.004310094029031708,0.10180401652820015,0.018096033026014924,0.0284083449369521,0.09425725633325999
XLF,Financials,-0.019803733629844777,-0.028655808846970388,0.03267564421284663,-0.008851429913024789,-0.004557557939049994,0.025128884017906472
XLC,Communication Services,0.019579519381883514,0.019671542241283646,0.00867138882988594,0.030531823098703503,0.04376979314920404,0.001124628634945779
SPY,S&P 500 (benchmark),-0.010952303716819989,-0.024098250907920393,0.007546760194940161,0.0,0.0,0.0
RSP,S&P 500 equal weight (breadth check),-0.01099515755247149,-0.03854338858467832,0.00439328776785719,-4.2853835651501804e-05,-0.014445137676757924,-0.0031534724270829706
XLK,Technology,-0.020971962228181207,-0.033575107201166854,-0.012286483589779684,-0.010019658511361218,-0.00947685629324646,-0.019833243784719845
XLP,Consumer Staples,0.0033714481518125616,-0.01594235320330506,-0.019649501110657552,0.01432375186863255,0.008155897704615334,-0.027196261305597713
IWM,Russell 2000 (small cap),-0.020569997546027285,-0.06379814045486765,-0.025398637850940875,-0.009617693829207297,-0.039699889546947253,-0.032945398045881036
QQQ,Nasdaq 100 (benchmark),-0.016180183014297134,-0.03445822486513428,-0.03338387373555862,-0.005227879297477145,-0.010359973957213886,-0.04093063393049878
XLB,Materials,-0.0200427863695275,-0.03598776814148086,-0.04119306699541114,-0.00909048265270751,-0.011889517233560465,-0.048739827190351304
XLRE,Real Estate,-0.013821664967291203,-0.04505912057233896,-0.04245812753829059,-0.002869361250471214,-0.02096086966441857,-0.05000488773323075
XLI,Industrials,-0.017928789176536064,-0.09451481278501717,-0.05963255467343076,-0.006976485459716075,-0.07041656187709677,-0.06717931486837092
XLY,Consumer Discretionary,-0.020273864466104907,-0.05627408732183481,-0.06804362776735107,-0.009321560749284918,-0.032175836413914416,-0.07559038796229123
XLU,Utilities,-0.037727037347344394,-0.0647351876549559,-0.07714500001320579,-0.026774733630524405,-0.0406369367470355,-0.08469176020814595
