Ticker,rank,score,name,sector,index,price,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,rs_1m,rs_3m,rs_6m,rs_3m_chg,pct_from_52w_high,pct_from_52w_low,new_52w_high,pct_vs_20dma,above_20dma,pct_vs_50dma,pct_vs_200dma,dist_to_50dma,pct_vs_9ema,pullback_9ema,avg_dollar_vol_m,above_50dma,above_200dma,vol_ratio_20_60,volume_x,gap_pct,gap_up,rvol
VLO,1,0.8799197384633578,Valero Energy,Energy,SP500,388.95001220703125,0.015933148769145644,0.07447725821147877,0.2349579207234842,0.5385497731791102,0.8077054083523185,0.9883040935672515,0.9941520467836257,0.9629629629629629,0.04678362573099415,0.0,1.5397823100214492,True,0.09837668186724824,True,0.21762867582687329,0.6201417191514822,-0.17873156254232014,0.053207918285948175,False,833.7341908591919,True,True,0.6308984058891811,1.0819623559022793,0.009194172541609147,False,1.2258827540811155
PSX,2,0.8790425454809015,Phillips 66,Energy,SP500,260.7799987792969,0.006328563857975533,0.03475912371370904,0.2164258592804753,0.4646039381232856,0.6250303198976213,0.9844054580896686,0.9883040935672515,0.9551656920077972,0.10721247563352831,0.0,1.1181940279629736,True,0.06760058344957676,True,0.2014394413826437,0.5180240986518183,-0.1676650811053969,0.031108204193036393,False,580.8696695591431,True,True,0.6808924760773148,0.940959837371984,0.011769652004946174,False,0.8126873562344777
MPC,3,0.8784577501592642,Marathon Petroleum,Energy,SP500,399.44000244140625,0.004198439987580294,0.04292428835876305,0.25041747933429526,0.551554298503075,0.8680590566900124,0.9941520467836257,0.9961013645224172,0.9727095516569201,0.050682261208576995,0.0,1.4846418934900458,True,0.08125706508476349,True,0.22127658837147135,0.6482257092678643,-0.18118466404611566,0.03814742333987575,False,741.9300226586304,True,True,0.5830322744504849,0.9077368139335262,0.009578393704465116,False,0.8726089921087564
CF,4,0.857204846209893,CF Industries,Materials,SP500,138.11000061035156,0.028139646599952606,0.018510283140546813,0.14275265816417737,0.27851902619747393,0.26659116619265477,0.9727095516569201,0.9532163742690059,0.8576998050682261,0.469785575048733,-0.00832917086611129,0.8416676950517568,False,0.08399580417634067,True,0.13184901713490227,0.2815376848876596,-0.11648993385059203,0.03369281746748509,False,305.9159971965637,True,True,1.00454435277805,1.205091964933117,0.026427477133683208,False,1.2978772496538995
APA,5,0.8524343583463987,APA Corporation,Energy,SP500,44.84000015258789,0.02962114668487903,0.012189637129284447,0.0931252962504836,0.23342245874272827,0.4285934612202722,0.9220272904483431,0.9395711500974658,0.9376218323586745,0.18518518518518512,0.0,1.118657419427691,True,0.0506953479388661,True,0.1735116379876196,0.34111385253718685,-0.14785676798669312,0.02897327470066302,False,203.559641928051,True,True,0.7124501088754289,0.8025448473665284,0.02043626648082819,False,0.9234566473597797
IQV,6,0.8493640875400068,IQVIA,Health Care,SP500,256.9800109863281,-0.008602988087889618,-0.005302864659653128,0.06194472975284726,0.3797584482487417,0.503422582330334,0.8927875243664717,0.9824561403508771,0.9473684210526315,0.023391812865497075,-0.05389877179160951,0.6403677070032054,False,0.005680422539026786,True,0.1040282154751746,0.270324669292624,-0.09422604786454747,-0.015473254133468006,True,319.85778423211667,True,True,0.5754940233545655,0.9970744906714615,-0.008140061807486942,False,0.7958707861477752
LITE,7,0.8469152332887011,Lumentum,Information Technology,SP500,988.97998046875,0.01067412776331711,0.13813219008635103,0.21569491290424136,0.2034900320238484,0.47169639950706843,0.9824561403508771,0.9142300194931774,0.9454191033138402,0.8070175438596492,-0.06087797570231668,5.610386848700555,False,0.09818607286437664,True,0.20259603164435114,0.42817381197473825,-0.16846557473446389,0.07723477583939498,False,3776.4301964522706,True,True,0.987554379974608,0.9431556578714362,0.0015533624990073935,False,0.9853359416309985
CVX,8,0.837619543531584,Chevron Corporation,Energy,SP500,213.80999755859375,0.01911341491185148,0.013077443577004244,0.10654121353610724,0.154829506236849,0.16834710124305996,0.9454191033138402,0.8596491228070176,0.7309941520467836,0.29824561403508776,0.0,0.4976527718369388,True,0.045989920920269434,True,0.11532572624610649,0.19540818633426982,-0.1034009379791343,0.024010261048080572,False,1538.3642720323792,True,True,0.6254592687116256,0.8874918432930865,0.014680656750490462,False,1.0378868881911354
DELL,9,0.8333310445062427,Dell Technologies,Information Technology,SP500,535.25,0.0025661105579113386,0.25941176470588245,0.16897439130802216,0.4043021157963602,2.739870364202472,0.9746588693957114,0.98635477582846,1.0,-0.011695906432748537,0.0,3.8419316906427206,True,0.12772409972482612,True,0.20454268480604298,1.0829279493835808,-0.16980941180924514,0.06993150010368376,False,3292.7274788939208,True,True,0.7880094872325416,2.2491560962967956,0.00859737352650991,False,0.9918112657429493
COP,10,0.8333264668520616,ConocoPhillips,Energy,SP500,136.52999877929688,0.011033808999137973,0.002496485291105799,0.11713106681688878,0.17681850506567143,0.21298328073081874,0.9629629629629629,0.8927875243664717,0.7914230019493177,0.31189083820662766,-0.004883368686940059,0.6441082429492715,False,0.03556888739099917,True,0.1293435867027295,0.22064834385846788,-0.11452988109700557,0.015733842325061476,False,792.0518936634979,True,True,0.7251299015722569,0.8292545347001954,0.01458827990704159,False,0.8442403419008331
