sector,n,median_1m,median_3m,mean_3m,concentration,pct_above_50dma,pct_above_200dma,pct_at_52w_high,median_score
Health Care,61,-0.03656923227476949,0.12449423012111582,0.1380508758415999,0.013556645720484067,0.01639344262295082,0.01639344262295082,0.0,0.6091617933723198
Information Technology,78,0.0529038920168905,0.10304756055065012,0.09731219344682389,-0.0057353671038262305,0.28205128205128205,0.3076923076923077,0.01282051282051282,0.6264619883040936
Energy,21,-0.03446049360115877,0.06764238402361844,0.1410343921195451,0.07339200809592666,0.0,0.0,0.0,0.6194931773879142
Financials,76,-0.07141638642383707,0.010722066738661273,0.033096057073160316,0.022373990334499043,0.02631578947368421,0.07894736842105263,0.0,0.4944444444444444
Materials,25,-0.060928402423617634,0.006260675185303821,0.0022327319911977918,-0.004027943194106029,0.0,0.0,0.0,0.4984405458089668
Communication Services,24,-0.0676251350803529,0.001457132335498712,0.013869550039122663,0.012412417703623951,0.125,0.16666666666666666,0.0,0.537962962962963
Consumer Staples,35,-0.07778465433480686,-0.028011496407614578,-0.021968375038672352,0.006043121368942226,0.02857142857142857,0.0,0.0,0.4636452241715399
Industrials,83,-0.06233876982850983,-0.049963857858607685,-0.04289214850228556,0.007071709356322127,0.0,0.0,0.0,0.4563352826510721
Real Estate,30,-0.07259973697771988,-0.07136810140954158,-0.06383855068597662,0.007529550723564968,0.0,0.0,0.0,0.4220760233918128
Consumer Discretionary,49,-0.09038707676772684,-0.07734417698615281,-0.06345759739020077,0.013886579595952048,0.02040816326530612,0.02040816326530612,0.0,0.39385964912280697
Utilities,31,-0.0658625956594997,-0.11922421373295045,-0.1247196302883646,-0.005495416555414148,0.0,0.0,0.0,0.3685185185185185
