sector,n,median_1m,median_3m,mean_3m,concentration,pct_above_50dma,pct_above_200dma,pct_at_52w_high,median_score
Industrials,83,-0.020803337787441922,-0.09747467801750032,-0.09747467801750032,0.0,0.0,0.0,0.0,0.501803118908382
Communication Services,24,,,,,0.0,0.0,0.0,0.5026315789473683
Consumer Discretionary,49,,,,,0.0,0.0,0.0,0.5044346978557505
Consumer Staples,35,,,,,0.0,0.0,0.0,0.49917153996101365
Energy,21,,,,,0.0,0.0,0.0,0.48455165692007796
Financials,76,,,,,0.0,0.0,0.0,0.4978070175438596
Health Care,61,,,,,0.0,0.0,0.0,0.5020955165692008
Information Technology,78,,,,,0.0,0.0,0.0,0.4867446393762183
Materials,25,,,,,0.0,0.0,0.0,0.4981968810916179
Real Estate,30,,,,,0.0,0.0,0.0,0.5240740740740741
Utilities,31,,,,,0.0,0.0,0.0,0.5102826510721248
