sector,n,median_1m,median_3m,mean_3m,concentration,pct_above_50dma,pct_above_200dma,pct_at_52w_high,median_score
Health Care,61,0.05107430512669886,0.1775371847321272,0.19168675564190188,0.014149570909774672,0.7540983606557377,0.7868852459016393,0.0,0.6405010893246188
Financials,76,0.013818289755119118,0.12238945739618978,0.13079379406205247,0.008404336665862683,0.6578947368421053,0.9342105263157895,0.0,0.6124085540649009
Materials,25,0.013958128087873112,0.1053874009740392,0.05493166374489321,-0.050455737229145994,0.72,0.76,0.0,0.494406604747162
Energy,21,0.06848903472365886,0.07185396314243908,0.1141481393746008,0.04229417623216172,0.9047619047619048,0.8571428571428571,0.14285714285714285,0.6147219355578489
Consumer Staples,35,0.0023776464717299994,0.0621014424095685,0.050678636456793,-0.011422805952775499,0.6857142857142857,0.6285714285714286,0.02857142857142857,0.46287467033597063
Communication Services,24,0.08418155482519252,0.056465815129840835,-0.01806613899962424,-0.07453195412946508,0.625,0.5833333333333334,0.0,0.4563031762412567
Industrials,83,-0.010986991728866746,0.03651591075837102,0.03385702697729641,-0.0026588837810746085,0.40963855421686746,0.6506024096385542,0.012048192771084338,0.42780529755761953
Information Technology,78,0.06965367111627008,0.014401235880221908,-0.0042559886198836865,-0.018657224500105596,0.5,0.7948717948717948,0.01282051282051282,0.4581366815732141
Consumer Discretionary,49,-0.009662979634441293,0.009120370424281488,0.032138418642457034,0.023018048218175546,0.4489795918367347,0.46938775510204084,0.0,0.39616672399954134
Real Estate,30,-0.025315516414220807,0.006939452126325518,0.017320272475548078,0.01038082034922256,0.23333333333333334,0.8333333333333334,0.0,0.4086022245155372
Utilities,31,-0.03930254719339876,-0.02706876796395552,-0.027644548082512932,-0.0005757801185574118,0.0967741935483871,0.2903225806451613,0.0,0.3675197798417613
