sector,n,median_1m,median_3m,mean_3m,concentration,pct_above_50dma,pct_above_200dma,pct_at_52w_high,median_score
Health Care,61,-0.003031262894091724,0.10403589891440612,0.1224463638498749,0.018410464935468773,0.6065573770491803,0.7377049180327869,0.0,0.5784331452680407
Energy,21,0.069114609118754,0.09484677935488794,0.1398110407198699,0.04496426136498197,0.9047619047619048,0.8571428571428571,0.23809523809523808,0.7179487913085606
Financials,76,-0.01742728884722511,0.07720553477588377,0.0912241600208996,0.014018625245015834,0.4342105263157895,0.8026315789473685,0.0,0.6036717554922313
Materials,25,-0.04286217546770821,0.02961346671132903,0.03549487894360457,0.005881412232275542,0.36,0.6,0.0,0.42029312245606404
Information Technology,78,-0.022796100734046143,0.024700549150571516,0.024962242985535264,0.0002616938349637478,0.5512820512820513,0.6538461538461539,0.02564102564102564,0.5220910915034924
Consumer Staples,35,-0.027423428835544494,-0.004773773665796233,0.007318140529170033,0.012091914194966266,0.2571428571428571,0.5142857142857142,0.0,0.4688593630194207
Communication Services,24,0.009227707127675622,-0.005200690380301742,-0.03378668750931368,-0.028585997129011935,0.5416666666666666,0.4583333333333333,0.0,0.4623738760905307
Utilities,31,-0.005131190130755581,-0.018826959687123557,-0.025052319898028214,-0.0062253602109046575,0.12903225806451613,0.25806451612903225,0.0,0.48053180897449105
Industrials,83,-0.07225352295954934,-0.02196114118089232,-0.025570520628353032,-0.0036093794474607137,0.1566265060240964,0.4939759036144578,0.0,0.41902835475294026
Consumer Discretionary,49,-0.06668113739601822,-0.038104772758022376,-0.023823381441818597,0.01428139131620378,0.22448979591836735,0.3877551020408163,0.0,0.3503162396096787
Real Estate,30,-0.02786998209237379,-0.05900360568823393,-0.04400946061208309,0.014994145076150836,0.13333333333333333,0.5666666666666667,0.0,0.435617010562937
