ticker,what,ret_1w,ret_1m,ret_3m,excess_1w,excess_1m,excess_3m
XLV,Health Care,0.009791308181914093,0.05543366618982959,0.14429325063751186,0.007106821876949887,0.05104285183878532,0.12042313250496584
XLF,Financials,0.011748450114496878,0.009655196091224338,0.1259846215989291,0.009063963809532671,0.0052643817401800685,0.10211450346638307
XLE,Energy,0.03740571194106179,0.12755193156735456,0.10784727985080078,0.034721225636097586,0.12316111721631029,0.08397716171825476
RSP,S&P 500 equal weight (breadth check),-0.006321941367249506,0.00145636613316813,0.047774097149077654,-0.009006427672213713,-0.00293444821787614,0.02390397901653163
XLP,Consumer Staples,0.0021156593947095903,-0.0008203409506870596,0.046460129548988816,-0.0005688269102546162,-0.0052111553017313295,0.02259001141644279
SPY,S&P 500 (benchmark),0.0026844863049642065,0.00439081435104427,0.023870118132546025,0.0,0.0,0.0
XLB,Materials,-0.011459714739759597,-0.00037994791025031116,0.023183906436274215,-0.014144201044723803,-0.004770762261294581,-0.0006862116962718101
IWM,Russell 2000 (small cap),-0.015409743353486993,-0.01527833585788585,0.013294003289166634,-0.0180942296584512,-0.01966915020893012,-0.010576114843379392
XLRE,Real Estate,-0.00918047131242583,-0.021017715639473633,0.0053547866856276105,-0.011864957617390037,-0.025408529990517903,-0.018515331446918415
XLC,Communication Services,0.017682376147148293,0.02263907679855559,0.004994764011974073,0.014997889842184087,0.01824826244751132,-0.018875354120571952
XLY,Consumer Discretionary,0.005005193690040155,-0.018374918378210925,-0.00484342527494408,0.0023207073850759485,-0.022765732729255195,-0.028713543407490105
XLI,Industrials,-0.02371367685008763,-0.06326808778515758,-0.0066447340543401845,-0.026398163155051835,-0.06765890213620185,-0.03051485218688621
XLU,Utilities,-0.0034738657901520753,-0.014429708436029198,-0.014456832986734947,-0.006158352095116282,-0.018820522787073468,-0.03832695111928097
QQQ,Nasdaq 100 (benchmark),-0.004770426857602206,0.0005158164275533839,-0.029909575529208587,-0.007454913162566412,-0.003874997923490886,-0.05377969366175461
XLK,Technology,-0.013997133667913997,0.0003227236695815261,-0.036124921230649365,-0.016681619972878203,-0.004068090681462744,-0.05999503936319539
