Ticker,rank,score,name,sector,index,price,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,rs_1m,rs_3m,rs_6m,rs_3m_chg,pct_from_52w_high,pct_from_52w_low,new_52w_high,pct_vs_20dma,above_20dma,pct_vs_50dma,pct_vs_200dma,dist_to_50dma,pct_vs_9ema,pullback_9ema,avg_dollar_vol_m,above_50dma,above_200dma,vol_ratio_20_60,volume_x,gap_pct,gap_up,rvol
IQV,1,0.8625433788756894,IQVIA,Health Care,SP500,263.8399963378906,0.021250203617859675,0.00890974144490242,0.15617878994859025,0.4492721335625547,0.48324707159586966,0.9473684210526315,0.9902534113060428,0.9454191033138402,0.02729044834307992,0.0,0.6841567098833432,True,0.05284368316535426,True,0.1633998056000041,0.310196965222139,-0.14045026036061037,0.01893336990290262,False,314.41609367843625,True,True,0.4971222346268107,0.9756284510211697,-0.0013547748993486541,False,0.8096558478016447
CRM,2,0.8587111775452584,Salesforce,Information Technology,SP500,256.92999267578125,-0.004571666121998441,0.24953797673884304,0.34525360116279646,0.35141451302961024,0.3374630817159108,0.9980506822612085,0.9668615984405458,0.9122807017543859,0.5653021442495126,-0.030021571123934665,0.7114974755708934,False,0.2022394579850657,True,0.37222392444171515,0.2856822316710097,-0.271255964723945,0.07443298203578097,False,2763.2276946769102,True,True,1.7023904008711166,2.006678597255402,0.004920458732040833,False,1.0027016489345681
CRL,3,0.8526687296217624,Charles River Laboratories,Health Care,SP500,291.760009765625,0.03336407717616097,-0.011318184577464918,0.2461985983708317,0.622060475264592,0.6246798462565284,0.9824561403508771,0.9980506822612085,0.9590643274853801,0.05263157894736836,-0.022841372876108657,1.0042590855670332,False,0.01983144680163118,True,0.16107305192381594,0.4669109639701787,-0.1387277498663234,0.00757259792369136,False,233.97227050482178,True,True,0.565857949991978,0.8508887107623078,0.011156739878662503,False,0.6513199296381174
CF,4,0.8447071215657479,CF Industries,Materials,SP500,139.27000427246094,0.027064882033586812,0.10795551037130324,0.18523053412969426,0.20057963831337422,0.3423656328946094,0.9707602339181286,0.8382066276803118,0.9142300194931774,0.672514619883041,0.0,0.8571360989414636,True,0.12654582242173995,True,0.16543790495163324,0.3057944759973288,-0.1419534273329638,0.07000129742439509,False,299.9116696907959,True,True,1.0473323649462545,1.2228306857188473,-0.014970491798851349,False,1.8348463232228476
VLO,5,0.8425628720530773,Valero Energy,Energy,SP500,366.0899963378906,0.011326296898046984,0.0518920714361939,0.1857933576600126,0.4056408488563443,0.6367502230808904,0.9727095516569201,0.9824561403508771,0.9610136452241715,0.12670565302144243,0.0,1.40604851775052,True,0.07527575290370292,True,0.18264080734494326,0.5508358884313254,-0.1544347245677885,0.03525854599216971,False,841.660195773529,True,True,0.8223925577001174,0.9368549079185415,-0.0057183260932170965,False,1.0292389716137293
MPC,6,0.8343757375501534,Marathon Petroleum,Energy,SP500,387.0,0.010443864229765065,0.06826403438402084,0.2413540346794012,0.4522648635878015,0.7644638770403485,0.9805068226120858,0.9922027290448343,0.9688109161793372,0.1228070175438597,0.0,1.4072611829149442,True,0.09548207167136535,True,0.2254480634980751,0.6235154795104136,-0.18397194480403145,0.044578392868026784,False,745.4126227232056,True,True,1.015504352808402,1.1336069202940735,-0.006866853479928214,False,1.0267617441761885
DASH,7,0.8306042884990255,DoorDash,Consumer Discretionary,SP500,226.24000549316406,0.0025702464842780604,-0.045118758760295696,0.11795231977030007,0.4635787476599258,0.27279890572806775,0.9103313840155945,0.9941520467836257,0.8674463937621832,0.23976608187134496,,,False,,False,,,,-0.0039502287995035745,False,858.0074001651998,False,False,0.5563953425861579,0.8049607596976247,0.00031016602097766466,False,0.7859542772233186
CTVA,8,0.8199013977394908,Corteva,Materials,SP500,89.97000122070312,0.02553285966097585,0.08785918118046787,0.15134425790318828,0.15889156858099285,0.15858415255894998,0.9454191033138402,0.7504873294346979,0.7290448343079922,0.5419103313840157,-0.0038474940435939686,0.48877593132860375,False,0.12290332817717209,True,0.08544188370465511,0.17147428135367027,-0.07871622146460633,0.0639519711781531,False,363.24330614079287,True,True,0.725075339101043,1.2351261888142395,0.00615517229534146,False,2.024011106852788
RVTY,9,0.8115687200062938,Revvity,Health Care,SP500,130.94000244140625,0.03436295307177906,0.03632769309629458,0.17550949958596207,0.29635017971326705,0.33134974320275434,0.9668615984405458,0.9434697855750487,0.9083820662768031,0.033138401559454134,0.0,0.5927803277629629,True,0.07768662836846763,True,0.13327923513861495,0.2853150687833774,-0.11760493884132028,0.033380855195892734,False,182.80529916012574,True,True,0.7928265626552108,1.3076789267253366,-0.005134638717813278,False,1.3510681249501748
PSX,10,0.8087719298245615,Phillips 66,Energy,SP500,256.0899963378906,0.016149480185825293,0.057218349728831,0.25042115653820995,0.39402866730751285,0.5742975601977356,0.98635477582846,0.9805068226120858,0.9571150097465887,0.2651072124756335,,,False,,False,,,,0.044821576041013333,False,574.4581452090828,False,False,1.0464350353346594,1.172887593532895,-0.0076581537253040954,False,1.0513672799529763
INCY,11,0.8053396445773128,Incyte,Health Care,SP500,128.8300018310547,0.030557552432175283,0.005541732289466417,0.0682421514184317,0.31486014918510397,0.3031559886270625,0.8187134502923976,0.9551656920077972,0.898635477582846,0.08771929824561397,-0.008466027143335664,0.5776389426104376,False,0.03541534973584537,True,0.07329892503207858,0.23296338831046337,-0.06829311324418574,0.020759820141950325,False,203.72100104208374,True,True,0.6601895489845584,0.8153983125298491,0.011359076431323167,False,1.380953173203531
ABNB,12,0.8050682261208577,Airbnb,Consumer Discretionary,SP500,183.25999450683594,0.003916822400298781,-0.0255756507154844,0.22238525043416613,0.3718092636466166,0.35207321517246526,0.9785575048732943,0.9727095516569201,0.9181286549707602,0.4619883040935673,,,False,,False,,,,-0.004515263971511918,False,733.2041548033111,False,False,2.208636761792185,1.1313630121572031,0.004026407832173673,False,0.767828193901385
COP,13,0.8032841196164302,ConocoPhillips,Energy,SP500,137.1999969482422,0.007416069379031498,0.05045552643055684,0.1710624133249563,0.16014356738567548,0.20312604013618563,0.9629629629629629,0.7543859649122807,0.797270955165692,0.571150097465887,0.0,0.6521764295908357,True,0.06547413237710664,True,0.15804123648789625,0.23727656713892253,-0.13647289190426692,0.03266081431241985,False,802.6899016785126,True,True,0.8609050040898137,0.9606125747873225,-0.009031468576911506,False,0.8835695517100575
NWSA,14,0.8009340116609412,News Corp (Class A),Communication Services,SP500,30.649999618530273,0.0006529695824899484,-0.010012902942812318,0.07205314637803228,0.17658351309759146,0.2808190233036074,0.8284600389863548,0.8031189083820662,0.8791423001949318,0.22612085769980506,-0.017313270480316167,0.37402158393826923,False,0.027764730303687202,True,0.08536299048264007,0.17344499904050847,-0.07864925488631302,0.003111502735891003,True,115.08858193912506,True,True,0.7798205075864252,1.1303794300652832,0.0022853935387145974,False,0.8872281866785966
SJM,15,0.7949693616202941,J.M. Smucker Company (The),Consumer Staples,SP500,131.44000244140625,0.0001522163501723739,0.004125351948823797,0.1132987214201957,0.310080134322706,0.16921859912332216,0.9025341130604289,0.9512670565302144,0.7504873294346979,0.07797270955165692,-0.006800619022132248,0.49831853287427386,False,0.06192144415118994,True,0.11298822190489788,0.25505310127447833,-0.10151789541089373,0.017460480274365198,False,168.4540151422882,True,True,0.6984252341731368,1.081566760709027,0.003043746468168518,False,0.8011947188187727
