ticker,what,ret_1w,ret_1m,ret_3m,excess_1w,excess_1m,excess_3m
XLV,Health Care,0.0016942818411320726,0.042566130312566175,0.12545673503823718,0.0006024161335533851,0.040445274571973,0.07851186635527041
XLE,Energy,0.022016548288114945,0.10144425252167832,0.11881370840178396,0.020924682580536258,0.09932339678108515,0.07186883971881719
XLF,Financials,0.0,0.005016382873916703,0.11479013153888307,-0.0010918657075786875,0.0028955271333235277,0.0678452628559163
RSP,S&P 500 equal weight (breadth check),-0.0076578115125761625,0.0019214848816313523,0.05782675779024493,-0.00874967722015485,-0.0001993708589618226,0.010881889107278164
IWM,Russell 2000 (small cap),0.0008791538989856296,-0.007510445044006664,0.05348470888741441,-0.00021271180859305794,-0.009631300784599839,0.0065398402044476445
SPY,S&P 500 (benchmark),0.0010918657075786875,0.002120855740593175,0.04694486868296677,0.0,0.0,0.0
XLK,Technology,0.008562638359554953,0.010521755403746225,0.03995181183501062,0.007470772651976265,0.00840089966315305,-0.006993056847956147
XLB,Materials,-0.01391503712335962,0.005175397110218638,0.03962229491256419,-0.015006902830938307,0.003054541369625463,-0.007322573770402574
QQQ,Nasdaq 100 (benchmark),0.0035314396699468453,0.006030920606387102,0.02083530129329847,0.002439573962368158,0.003910064865793927,-0.026109567389668298
XLP,Consumer Staples,-0.010181335848548523,-0.006227220955188351,0.020695891812442913,-0.01127320155612721,-0.008348076695781526,-0.026248976870523855
XLI,Industrials,-0.010556594352663096,-0.05136388025830929,0.008733697700650023,-0.011648460060241783,-0.053484735998902466,-0.038211170982316744
XLC,Communication Services,-0.008496319166499289,0.007645246193451527,0.0058336862725516525,-0.009588184874077976,0.005524390452858352,-0.041111182410415115
XLY,Consumer Discretionary,-0.019622860168317935,-0.027010964040873664,0.0024288868079114234,-0.020714725875896622,-0.02913181978146684,-0.044515981875055344
XLRE,Real Estate,-0.012365090888508012,-0.019638496789686766,-0.00861403195080046,-0.0134569565960867,-0.02175935253027994,-0.05555890063376723
XLU,Utilities,0.00819102018647122,-0.006915611564635271,-0.022433158225634187,0.007099154478892533,-0.009036467305228446,-0.06937802690860095
