Ticker,rank,score,name,sector,index,price,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,rs_1m,rs_3m,rs_6m,rs_3m_chg,pct_from_52w_high,pct_from_52w_low,new_52w_high,pct_vs_20dma,above_20dma,pct_vs_50dma,pct_vs_200dma,dist_to_50dma,pct_vs_9ema,pullback_9ema,avg_dollar_vol_m,above_50dma,above_200dma,vol_ratio_20_60,volume_x,gap_pct,gap_up,rvol
MPC,1,0.8949313924079607,Marathon Petroleum,Energy,SP500,424.8900146484375,0.0069438412472602185,0.07314429951855406,0.17779629840176714,0.7539558122132441,0.8138920527551585,0.9785575048732943,0.9961013645224172,0.9649122807017544,0.04678362573099415,0.0,1.642948687831637,True,0.09701268031449861,True,0.22596840203341606,0.6995396073772404,-0.18431829210167272,0.04335889727951603,False,890.9397747363892,True,True,0.5797797810669555,1.7343413143730102,-0.004005124835599894,False,4.173943904145442
VLO,2,0.8844050766184869,Valero Energy,Energy,SP500,413.2799987792969,0.0018180496017727865,0.0585522887283898,0.19355393959307077,0.7557222653765696,0.7220155414712834,0.9844054580896686,0.9980506822612085,0.9610136452241715,0.07797270955165692,0.0,1.6986530208489432,True,0.10689276432216444,True,0.2252197128844018,0.6667002184472601,-0.18381985738230688,0.044821314707883975,False,983.0073585966187,True,True,0.6810739476712304,1.7048579221333615,-0.00128475209285428,False,3.388023675961544
IQV,3,0.8802014549310874,IQVIA,Health Care,SP500,266.4200134277344,-0.011208391427804498,0.017763779689121018,0.0687580822062368,0.5880074306671912,0.600408550934767,0.935672514619883,0.9883040935672515,0.949317738791423,0.021442495126705707,-0.01914432583363257,0.700625604492898,False,0.012393714066756045,True,0.10392349137160606,0.30836469678191913,-0.09414012128909666,0.00321520846505452,True,358.1549368659668,True,True,0.46418538027788714,1.5963628970747354,3.7150258069607034e-05,False,4.065837113608847
SWKS,4,0.8585602133186849,Skyworks Solutions,Information Technology,SP500,88.76000213623047,-0.028033262890372557,0.004640675372840741,0.29614482747018633,0.2251208540373031,0.6543101473457056,0.9961013645224172,0.898635477582846,0.9551656920077972,0.6803118908382066,-0.028033262890372557,0.7053573129999082,False,0.17538786447431898,True,0.29351931419038246,0.38031241439257735,-0.2269152930075088,0.05262944645267198,False,463.70063665000913,True,True,1.5382524935595805,1.8925736530645265,0.007993904504743021,False,3.5759138613640427
PSX,5,0.8552608690676462,Phillips 66,Energy,SP500,273.1300048828125,-0.003938538368112532,0.052645791798067165,0.12728553572684742,0.6527004292533414,0.5508193073964833,0.9649122807017544,0.9902534113060428,0.9473684210526315,0.06822612085769975,-0.003938538368112532,1.2185074919882073,False,0.07445203373842846,True,0.1919158588580332,0.5481625520939148,-0.16101460302903126,0.03396850834282872,False,664.5386391431884,True,True,0.7547801998062652,1.5950554092992018,-0.0071842795014486205,False,3.7523179423681863
VRSN,6,0.8468665957130269,Verisign,Information Technology,SP500,303.1199951171875,0.0035424842491704744,0.035564223859802846,0.11020765656675624,0.14876742095096396,0.2719320924978099,0.9571150097465887,0.8011695906432749,0.8460038986354775,0.7056530214424952,-0.019323190711851512,0.44129036854665005,False,0.03662309774830086,True,0.06413061937347897,0.15509784688546113,-0.060265740131824064,0.021154615396409282,False,216.60796403320313,True,True,0.6295454059875438,1.0271356044054276,0.0,False,1.928517944055196
MSFT,7,0.8407558088524202,Microsoft,Information Technology,SP500,493.7799987792969,-0.007975893964245362,-0.003732635404010809,0.021472910661714417,0.3039261028789282,0.27443586962369193,0.8615984405458089,0.9551656920077972,0.8499025341130604,0.25536062378167634,-0.08158972636337825,0.4021187872346934,False,-0.007497340408190056,False,0.06372371959912981,0.14812350615001924,-0.05990626929250431,-0.004739971236346285,False,13385.976587963134,True,True,0.4633936492237587,0.7886153426052281,0.0004419914027185001,False,1.364472233453625
RVTY,8,0.8310755961440892,Revvity,Health Care,SP500,143.4499969482422,-0.022353975838638074,0.1539699120388669,0.20092089253379575,0.43539950344248024,0.675049630696305,0.9883040935672515,0.9746588693957114,0.9571150097465887,0.12280701754385959,-0.022353975838638074,0.7449543981722517,False,0.10122940588111184,True,0.19325277509035788,0.38201620595850216,-0.16195459933099599,0.04835808535747432,False,205.0812150738983,True,True,1.1801011441760192,1.804516860687217,-0.0015674758688478674,False,2.0305065018265758
TMO,9,0.826309685934776,Thermo Fisher Scientific,Health Care,SP500,651.4500122070312,-0.010435646859816683,0.06908493677354888,0.06260286683113403,0.4032185915445925,0.3878966663376813,0.9259259259259259,0.9688109161793372,0.9005847953216374,0.023391812865497075,-0.010435646859816683,0.48880521623743545,False,0.0457951488103836,True,0.10324296192054327,0.2131996885219385,-0.09358134652480932,0.027260242178841043,False,1221.550685102539,True,True,0.7052622704109743,1.5472225509042203,-0.002597554310413197,False,2.291817219131657
TRV,10,0.8203276455980133,Travelers Companies (The),Financials,SP500,374.6199951171875,-0.012833000191071586,-0.001545887715812988,0.037769400095462036,0.22121061087649663,0.27163566897429314,0.9025341130604289,0.8966861598440545,0.8440545808966862,0.13255360623781676,-0.053670922220695805,0.4540868440214112,False,0.012226452910859997,True,0.015626570944899276,0.19314773217864634,-0.01538613836221403,0.00010293444525522055,False,669.3682410393677,True,True,0.559396051956897,0.9620893416772179,-0.006693135768284786,False,1.854548120245634
SOLV,11,0.8172224701784905,Solventum,Health Care,SP500,88.83999633789062,0.01496626958600622,0.015894790602121178,0.011729857737549532,0.17778067053507218,0.323205200260813,0.8284600389863548,0.8440545808966862,0.8752436647173489,0.115009746588694,-0.038944245006889866,0.42166737000590726,False,-0.015279609189901344,False,0.032039179902178416,0.14364787388630695,-0.031044538352909545,-0.0027505221882977438,False,93.94183522871398,True,True,0.5652748813408526,1.1435152335118879,0.0009139932842499032,False,2.192429111584825
APA,12,0.8167221707236128,APA Corporation,Energy,SP500,44.869998931884766,-0.012978446204795713,0.0031298768406256006,0.032681200092325335,0.36802328421395414,0.19517222564025438,0.8888888888888888,0.9590643274853801,0.7446393762183235,0.47953216374269003,-0.05357521458979697,1.1200746488847457,False,0.021955978257771847,True,0.12324733289754497,0.3125704909814633,-0.10972412690232203,-0.0013196119873263301,True,223.85873731385803,True,True,0.921594449537508,1.4159491044938854,-0.0032995537660024388,False,2.1963920010969518
GEN,13,0.8152258500131608,Gen Digital,Information Technology,SP500,29.010000228881836,-0.039721909697362334,-0.04130865798232641,0.05337687961098392,0.2050408175861098,0.424807371874228,0.9142300194931774,0.8810916179337231,0.9278752436647173,0.2378167641325536,-0.07640877523684586,0.637453333759664,False,-0.04015086428196646,False,0.018911962445718133,0.17989562480189925,-0.01856093867062203,-0.03960707620077364,False,153.72830907943725,True,True,0.8842045024398998,1.6109033691641383,-0.0006619844760378246,False,3.8046058477847255
NWSA,14,0.8126377587805128,News Corp (Class A),Communication Services,SP500,29.780000686645508,-0.013253797696671121,0.011548918016987209,0.014607918651996288,0.18197003471881024,0.24865030691037582,0.8421052631578947,0.8499025341130604,0.8206627680311891,0.2436647173489278,-0.0419941335298436,0.3395120041173789,False,-0.018254920480742842,False,0.025003346904124646,0.1325068445736448,-0.024393429523565713,-0.009639668709161775,False,111.63200650678253,True,True,0.7335489336263623,1.4440477160776348,0.0003313528423034562,False,4.264317950762262
AAPL,15,0.8102270516473833,Apple Inc.,Information Technology,SP500,336.1300048828125,-0.0025815878848294282,0.011617106560237067,0.060916008990660186,0.1288879514208432,0.35254589013579674,0.9220272904483431,0.7719298245614035,0.8908382066276803,0.3138401559454191,-0.010762395795705038,0.3755113377229242,False,0.04181132382433561,True,0.050323271193544405,0.17551135734807377,-0.04791217387420066,0.016755912264148076,False,15419.806454562256,True,True,0.6672431859472356,0.9564986300381458,0.0027003076026983486,False,1.8252769768499912
EXPD,16,0.8089584692324419,Expeditors International,Industrials,SP500,190.94000244140625,0.009837109119628096,-0.008618918014037802,0.02413645108921436,0.1836101771162062,0.3034770968356515,0.8693957115009746,0.8518518518518519,0.8635477582846004,0.08966861598440545,-0.015265557236986527,0.7054297331457651,False,0.007928725753299393,True,0.04438215100343035,0.19084518925178018,-0.042496083412368324,0.003476838765231749,False,196.54612270138549,True,True,0.6252076722368377,1.1739090202465114,0.0005817675549308898,False,2.3634039032828187
CRWD,17,0.8066070808680759,CrowdStrike,Information Technology,SP500,237.64999389648438,-0.03276354559114458,0.14951140360854032,0.17864399217074234,0.3880209034229989,1.22009433379979,0.9824561403508771,0.9649122807017544,0.9824561403508771,0.060428849902534165,-0.03276354559114458,1.7140613150205208,False,0.10096797636805,True,0.1476008024398172,0.6170041900314809,-0.12861685189311078,0.03102603662911374,False,2088.2866522372437,True,True,1.7485990987324513,1.741304002822263,0.005209600306045337,False,2.0180215992518207
AIZ,18,0.8003372205246755,Assurant,Financials,SP500,282.2300109863281,-0.005567057488661709,-0.0008142054652244823,0.017218813874439798,0.0894411028100357,0.34085491360123954,0.8499025341130604,0.7115009746588694,0.8830409356725146,0.18908382066276808,-0.06123899306525171,0.3785846321442863,False,-0.005409680356848301,False,0.0026035652923379615,0.1431057727410845,-0.002596804342680392,-0.0036758762787180155,False,101.04401437554931,True,True,0.6305250266323028,1.3907662060568147,-0.004897586916656871,False,2.0700564586670303
EG,19,0.7991752593050359,Everest Group,Financials,SP500,374.8500061035156,-0.013864014209637121,0.008447485191737103,0.03560621032297395,0.1229274826805884,0.19997247008857544,0.8927875243664717,0.7602339181286549,0.7504873294346979,0.40545808966861596,-0.05470738305134315,0.2512230230777388,False,-0.0008988838255896692,False,0.004169921019635092,0.09654929132542023,-0.0041526049848227276,-0.0036530329602705303,True,135.53914122290038,True,True,0.7524740233192331,1.8115970011750362,0.00768182012323293,False,5.4025924308675135
FFIV,20,0.7959026180367205,"F5, Inc.",Information Technology,SP500,432.0299987792969,-0.005959220392500075,0.049355147424047674,0.12910642988286836,0.1207294864300521,0.4882191420807249,0.9668615984405458,0.7563352826510721,0.9376218323586745,0.49122807017543857,-0.005959220392500075,0.9287914111528603,False,0.07149367508435267,True,0.06775101170810083,0.28821532804328887,-0.06345206978518181,0.0315540366993623,False,244.59377680236815,True,True,1.1899458278913364,1.2181118634832244,0.010376903539398796,False,2.0642396253988275
