ticker,what,ret_1w,ret_1m,ret_3m,excess_1w,excess_1m,excess_3m
XLE,Energy,0.008046991967884276,0.06734394056297766,0.1486304869514259,0.01953218290790082,0.07795898064206441,0.11000146004455491
XLF,Financials,-0.022370241505638044,-0.011567648310191747,0.09180054570588703,-0.010885050565621501,-0.0009526082311049899,0.05317151879901605
XLV,Health Care,-0.0455961800008754,-0.018285453493306014,0.07787190520564691,-0.034110989060858854,-0.007670413414219257,0.03924287829877593
SPY,S&P 500 (benchmark),-0.011485190940016543,-0.010615040079086757,0.03862902690687098,0.0,0.0,0.0
RSP,S&P 500 equal weight (breadth check),-0.02354014025326745,-0.02808940954601924,0.02837733771167983,-0.012054949313250907,-0.017474369466932482,-0.01025168919519115
XLK,Technology,0.009141242872954924,-0.00630097658350337,0.025565036162864763,0.020626433812971467,0.004314063495583387,-0.013063990744006215
XLC,Communication Services,-0.006879509597742195,0.0211299709983368,0.006893732908681782,0.004605681342274348,0.03174501107742356,-0.031735293998189196
XLB,Materials,-0.031736947982592745,-0.0310003996072995,-0.001551992457500595,-0.0202517570425762,-0.020385359528212743,-0.04018101936437157
QQQ,Nasdaq 100 (benchmark),-0.003887550118830907,-0.012187380372318701,-0.0020280501782660165,0.007597640821185636,-0.0015723402932319441,-0.040657077085136994
IWM,Russell 2000 (small cap),-0.021342144858782164,-0.045654181218830026,-0.002868254729670894,-0.00985695391876562,-0.03503914113974327,-0.04149728163654187
XLI,Industrials,-0.01254584367573186,-0.07268135039130408,-0.013450815679163175,-0.0010606527357153173,-0.06206631031221732,-0.05207984258603415
XLP,Consumer Staples,-0.022050256107296162,-0.01998124754407571,-0.015380070478888452,-0.01056506516727962,-0.009366207464988952,-0.05400909738575943
XLRE,Real Estate,-0.018757103526659602,-0.024050426368928846,-0.02492243569189201,-0.007271912586643059,-0.013435386289842088,-0.06355146259876299
XLY,Consumer Discretionary,-0.030053237399232047,-0.04181864730426543,-0.02678343421725604,-0.018568046459215504,-0.031203607225178676,-0.06541246112412702
XLU,Utilities,-0.01487333041609018,-0.033074834805945086,-0.03153960960156177,-0.003388139476073637,-0.02245979472685833,-0.07016863650843275
