ticker,what,ret_1w,ret_1m,ret_3m,excess_1w,excess_1m,excess_3m
XLV,Health Care,-0.0031692279258184186,0.06718074632701843,0.17758677388589095,-0.002020516481607393,0.07512806426745133,0.16044188475411336
XLF,Financials,-0.010470250827810945,-0.0039737307876973604,0.13725081770509795,-0.00932153938359992,0.003973587152735547,0.12010592857332036
XLE,Energy,0.04243155633903939,0.11208137169003152,0.11647656102546833,0.043580267783250415,0.12002868963046442,0.09933167189369074
RSP,S&P 500 equal weight (breadth check),-0.015893020438505934,-0.007492139710730816,0.0486332715103337,-0.014744308994294908,0.0004551782297020912,0.03148838237855611
XLP,Consumer Staples,-0.008809488077069716,0.0016399131444801984,0.04799559032677014,-0.00766077663285869,0.009587231084913106,0.030850701194992558
XLB,Materials,-0.013042611740710308,0.01865386962890625,0.02979002567250255,-0.011893900296499282,0.026601187569339158,0.012645136540724966
IWM,Russell 2000 (small cap),-0.01642526271171041,-0.02548806025388528,0.02450444794437101,-0.015276551267499383,-0.017540742313452373,0.007359558812593425
SPY,S&P 500 (benchmark),-0.0011487114442110258,-0.007947317940432908,0.017144889131777585,0.0,0.0,0.0
XLRE,Real Estate,-0.030161911859596824,-0.03187953697326018,0.013863509629820303,-0.029013200415385798,-0.023932219032827273,-0.0032813795019572822
XLC,Communication Services,-0.0016872608149935964,0.0033916212987579186,0.005642954401218425,-0.0005385493707825706,0.011338939239190826,-0.01150193473055916
XLI,Industrials,-0.04186538319326505,-0.07301502712446306,-0.004796834323120058,-0.04071667174905402,-0.06506770918403015,-0.021941723454897644
XLY,Consumer Discretionary,-0.01946062083837896,-0.02882748867796958,-0.013887520884622528,-0.018311909394167936,-0.020880170737536674,-0.031032410016400114
XLU,Utilities,-0.019305910939835025,-0.032645713477236216,-0.017559619769198176,-0.018157199495624,-0.024698395536803308,-0.03470450890097576
QQQ,Nasdaq 100 (benchmark),-0.002994229300410156,-0.020183720168997832,-0.04594215054625084,-0.0018455178561991303,-0.012236402228564924,-0.06308703967802842
XLK,Technology,0.004320764388235476,-0.017495928948413897,-0.06309449580932003,0.005469475832446502,-0.00954861100798099,-0.08023938494109761
