ticker,what,ret_1w,ret_1m,ret_3m,excess_1w,excess_1m,excess_3m
XLE,Energy,0.0083372077121322,0.08524422112667818,0.1462101060446721,0.007523330879787515,0.09899531032108011,0.10915136607587073
XLF,Financials,-0.0024475417444250747,-0.012973533682469562,0.09149603668808148,-0.003261418576769759,0.0007775555119323707,0.054437296719280104
XLV,Health Care,-0.029649888694478932,-0.011042511181383885,0.08245228434192287,-0.030463765526823616,0.002708578013018048,0.045393544373121486
XLK,Technology,0.023034174153768294,0.008318955195571576,0.04051556879780449,0.02222029732142361,0.02207004438997351,0.0034568288290031113
SPY,S&P 500 (benchmark),0.0008138768323446843,-0.013751089194401933,0.03705873996880138,0.0,0.0,0.0
RSP,S&P 500 equal weight (breadth check),-0.013557594548883611,-0.025338306239779063,0.030026535912669905,-0.014371471381228296,-0.01158721704537713,-0.007032204056131475
IWM,Russell 2000 (small cap),0.0002409310061399772,-0.031135395679135147,0.022143034461308053,-0.0005729458262047071,-0.017384306484733214,-0.014915705507493326
XLB,Materials,-0.013059349129271758,-0.03365928742488422,0.01599663878044022,-0.013873225961616442,-0.019908198230482288,-0.02106210118836116
QQQ,Nasdaq 100 (benchmark),0.012251968134480817,-0.0063256864475992325,0.013092398058208943,0.011438091302136133,0.007425402746802701,-0.023966341910592437
XLC,Communication Services,-0.0004508966775045309,-0.008942144179794775,-0.0032442723997653244,-0.0012647735098492152,0.004808945014607158,-0.040303012368566704
XLP,Consumer Staples,-0.025806415815157635,-0.022366026659683014,-0.005633131476486586,-0.02662029264750232,-0.00861493746528108,-0.042691871445287966
XLU,Utilities,0.008928506606121545,-0.0044053428402698325,-0.017412624593649673,0.00811462977377686,0.0093457463541321,-0.05447136456245105
XLI,Industrials,-0.005442033605379093,-0.06939334991245616,-0.019290187578648532,-0.006255910437723777,-0.055642260718054226,-0.05634892754744991
XLRE,Real Estate,-0.014305201067630113,-0.02229733433431902,-0.026230997691980895,-0.015119077899974798,-0.008546245139917086,-0.06328973766078227
XLY,Consumer Discretionary,-0.01858798605017198,-0.06024901140462846,-0.027495544995055132,-0.019401862882516663,-0.04649792221022653,-0.06455428496385651
