sector,n,median_1m,median_3m,mean_3m,concentration,pct_above_50dma,pct_above_200dma,pct_at_52w_high,median_score
Health Care,61,-0.038455841898300536,0.09645118507828165,0.12870262281941505,0.0322514377411334,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.6051656920077974
Energy,21,-0.005670628793585486,0.07732791528363636,0.13182489150064597,0.05449697621700961,0.0,0.0,0.0,0.6217348927875245
Information Technology,78,0.025574494687341742,0.07497819608623502,0.08601844983131356,0.01104025374507854,0.2564102564102564,0.3076923076923077,0.02564102564102564,0.6029518240044556
Financials,76,-0.07593652566383197,0.011065437934469902,0.0377713819790459,0.026705944044575998,0.02631578947368421,0.07894736842105263,0.0,0.5126705653021443
Communication Services,24,-0.059101895512872205,0.004139053939212822,0.029527731518923853,0.02538867757971103,0.125,0.20833333333333334,0.041666666666666664,0.5725842383737121
Materials,25,-0.06449627569415906,-0.014280741284839471,-0.023463005515330235,-0.009182264230490764,0.0,0.0,0.0,0.47953216374269003
Consumer Staples,35,-0.0695094747793944,-0.03984433737375215,-0.029508570500719734,0.010335766873032413,0.0,0.0,0.0,0.47719298245614034
Industrials,83,-0.06237186427421959,-0.07721310587772356,-0.06618942595367105,0.01102367992405251,0.0,0.0,0.0,0.44181286549707605
Real Estate,30,-0.07556083987885315,-0.08190441243263202,-0.07554258256069207,0.00636182987193995,0.0,0.0,0.0,0.4452729044834308
Consumer Discretionary,49,-0.10264627376940128,-0.08303592305010976,-0.05932252924891038,0.023713393801199384,0.02040816326530612,0.02040816326530612,0.0,0.38551935394040665
Utilities,31,-0.07357358180525198,-0.13191936533883242,-0.1388002246662932,-0.00688085932746077,0.0,0.0,0.0,0.3632553606237816
