sector,n,median_1m,median_3m,mean_3m,concentration,pct_above_50dma,pct_above_200dma,pct_at_52w_high,median_score
Health Care,61,0.04443383452999372,0.1788305203952969,0.19875440259869953,0.019923882203402632,0.21311475409836064,0.2786885245901639,0.0,0.6289473684210527
Financials,76,0.007606732282779749,0.11498639769762276,0.12148795066864136,0.0065015529710186065,0.11842105263157894,0.19736842105263158,0.0,0.6175438596491227
Materials,25,0.022504418393402226,0.08946957931176924,0.05178729678028079,-0.037682282531488455,0.04,0.12,0.0,0.517056530214425
Energy,21,0.05643967175402209,0.07944331760340306,0.11745871382050466,0.038015396217101594,0.2857142857142857,0.2857142857142857,0.047619047619047616,0.6081871345029239
Consumer Staples,35,-0.002361299051961474,0.05020191613554448,0.05378518695151387,0.0035832708159693957,0.11428571428571428,0.22857142857142856,0.0,0.47641325536062384
Industrials,83,-0.023189401093467676,0.03203267736909532,0.02297091020762861,-0.00906176716146671,0.07228915662650602,0.0963855421686747,0.0,0.445224171539961
Real Estate,30,-0.0272795795052172,0.012696033011966312,0.020334572527341718,0.007638539515375405,0.03333333333333333,0.1,0.0,0.41650186071238704
Communication Services,24,0.060015245101281756,0.002371451474543762,-0.04122464400127159,-0.043596095475815354,0.16666666666666666,0.20833333333333334,0.0,0.4793859649122807
Utilities,31,-0.03955913352152074,-0.003352541157355171,-0.01789787497112315,-0.014545333813767977,0.0,0.06451612903225806,0.0,0.3817738791423002
Consumer Discretionary,49,-0.012686818194505789,-0.00570321019772535,0.01807596811149358,0.02377917830921893,0.10204081632653061,0.061224489795918366,0.0,0.44337054758107397
Information Technology,78,0.058107312972575986,-0.02350258670342703,-0.035648575470484466,-0.012145988767057435,0.2692307692307692,0.46153846153846156,0.01282051282051282,0.4694701399964558
