ticker,what,ret_1w,ret_1m,ret_3m,excess_1w,excess_1m,excess_3m
XLE,Energy,-0.012741815149396318,0.01148153045793876,0.20464540573557244,-0.011814755750587103,0.018605209566340375,0.18209209207074561
XLV,Health Care,0.018323650024873128,-0.04149586515287795,0.13207936409260235,0.019250709423682344,-0.03437218604447634,0.10952605042777552
XLF,Financials,-0.024279465321370042,-0.028183697717227507,0.046400562296801784,-0.023352405922560826,-0.021060018608825892,0.02384724863197496
SPY,S&P 500 (benchmark),-0.0009270593988092157,-0.007123679108401615,0.022553313664826824,0.0,0.0,0.0
XLC,Communication Services,-0.015896988808030366,-0.004581406195010795,0.015059608182655948,-0.01496992940922115,0.0025422729133908195,-0.007493705482170876
RSP,S&P 500 equal weight (breadth check),-0.012007268998389442,-0.044040229276920195,0.015013071926419208,-0.011080209599580226,-0.03691655016851858,-0.007540241738407616
XLP,Consumer Staples,-0.00695603526943489,-0.04321698433329324,0.0008945812538929676,-0.006028975870625675,-0.036093305224891625,-0.021658732410933856
XLK,Technology,0.010284051544737993,0.03245483954299755,-0.00843043043522329,0.011211110943547209,0.039578518651399164,-0.030983744100050115
XLRE,Real Estate,-0.020497453412722133,-0.05467887991538645,-0.021826659082719635,-0.019570394013912917,-0.04755520080698483,-0.04437997274754646
QQQ,Nasdaq 100 (benchmark),0.009190363808392998,0.007499155107010491,-0.024813220825545934,0.010117423207202214,0.014622834215412106,-0.04736653449037276
XLB,Materials,-0.018841983711430088,-0.04817210124229698,-0.03152060141214075,-0.017914924312620872,-0.04104842213389537,-0.05407391507696757
IWM,Russell 2000 (small cap),-0.014012323430691254,-0.055939221616942536,-0.03636117276435091,-0.013085264031882038,-0.04881554250854092,-0.05891448642917774
XLY,Consumer Discretionary,-0.01708569689109596,-0.06374903273505084,-0.050433264514995746,-0.016158637492286743,-0.05662535362664922,-0.07298657817982257
XLI,Industrials,-0.01519983286769988,-0.06705137209599743,-0.05937962394584606,-0.014272773468890665,-0.059927692987595815,-0.08193293761067288
XLU,Utilities,-0.03043172762683166,-0.06633352915214674,-0.07590609785510327,-0.029504668228022446,-0.05920985004374513,-0.0984594115199301
