sector,n,median_1m,median_3m,mean_3m,concentration,pct_above_50dma,pct_above_200dma,pct_at_52w_high,median_score
Health Care,61,0.04503069109090796,0.1739749283912655,0.21533635421972488,0.04136142582845939,0.29508196721311475,0.32786885245901637,0.08196721311475409,0.6505847953216375
Financials,76,-0.014626323658787299,0.1369675159213184,0.1430388454540799,0.006071329532761516,0.27631578947368424,0.35526315789473684,0.0,0.6177392284897596
Materials,25,-0.0038951047632929114,0.08674332121154515,0.051057326857000145,-0.03568599435454501,0.28,0.44,0.04,0.4708576998050682
Consumer Staples,35,-0.0012003923371762815,0.07248193440479889,0.06920490211208118,-0.0032770322927177103,0.2571428571428571,0.34285714285714286,0.0,0.5347953216374269
Energy,21,0.10564530184614318,0.06926657656364044,0.1065323779813213,0.03726580141768086,0.47619047619047616,0.42857142857142855,0.19047619047619047,0.6588672103777131
Communication Services,24,0.04509736895818961,0.05296527001325857,0.008992995695106152,-0.04397227431815242,0.2916666666666667,0.25,0.0,0.5382850811632969
Industrials,83,-0.06592054277151793,0.014736295493359197,0.0018335490982396326,-0.012902746395119565,0.04819277108433735,0.1927710843373494,0.012048192771084338,0.3835282651072125
Consumer Discretionary,49,-0.03297511271131326,-0.005663235854414306,0.03185706621205665,0.03752030206647096,0.14285714285714285,0.1836734693877551,0.0,0.3953216374269006
Real Estate,30,-0.03845902903251841,-0.005835670568372808,0.00700363355637168,0.012839304124744488,0.03333333333333333,0.26666666666666666,0.0,0.41424378709604104
Utilities,31,-0.03243789265865993,-0.01424438811192108,-0.023704007408062788,-0.009459619296141707,0.0,0.0967741935483871,0.0,0.42500196680040914
Information Technology,78,-0.02901809882007722,-0.06724966154808976,-0.05356189793464052,0.013687763613449234,0.3076923076923077,0.4358974358974359,0.01282051282051282,0.4374183777830226
