sector,n,median_1m,median_3m,mean_3m,concentration,pct_above_50dma,pct_above_200dma,pct_at_52w_high,median_score
Health Care,61,0.006442442197095222,0.13259923330622803,0.143732426948701,0.011133193642472977,0.639344262295082,0.7377049180327869,0.04918032786885246,0.643269322469034
Energy,21,-0.0017230907624679048,0.10175114256284501,0.14780683691161292,0.04605569434876791,0.6666666666666666,0.7142857142857143,0.09523809523809523,0.7023962112282228
Financials,76,-0.041718995565004635,0.02412038813817463,0.0362941522908454,0.012173764152670769,0.2236842105263158,0.6447368421052632,0.0,0.5536283631453062
Materials,25,-0.04400762917090184,0.008646865044999563,-0.018554094518942382,-0.027200959563941945,0.36,0.64,0.0,0.49223667998001086
Information Technology,78,-0.051572442066729285,0.004442794434144082,0.013699207370003132,0.00925641293585905,0.5128205128205128,0.6538461538461539,0.0,0.5002609262883236
Communication Services,24,0.0011841450979526713,-0.00021758523384352024,0.0022896114032067752,0.0025071966370502955,0.5416666666666666,0.5833333333333334,0.0,0.5388318589472159
Consumer Staples,35,-0.026901547277638826,-0.021772036762653713,-0.013614123632783222,0.00815791312987049,0.34285714285714286,0.45714285714285713,0.0,0.505121822821895
Industrials,83,-0.08738303734566855,-0.04989218937591522,-0.050908854705864925,-0.0010166653299497064,0.13253012048192772,0.40963855421686746,0.0,0.3984422624292848
Real Estate,30,-0.051267129612592444,-0.06468677478758267,-0.05268475664767943,0.012002018139903238,0.06666666666666667,0.4666666666666667,0.0,0.43849673651404003
Consumer Discretionary,49,-0.07502823722395635,-0.06624784878636092,-0.061561555641529486,0.004686293144831433,0.14285714285714285,0.30612244897959184,0.0,0.3697529592626924
Utilities,31,-0.05713229948425658,-0.07699841369086058,-0.07966010711385353,-0.002661693422992953,0.06451612903225806,0.12903225806451613,0.0,0.388847499265668
