sector,n,median_1m,median_3m,mean_3m,concentration,pct_above_50dma,pct_above_200dma,pct_at_52w_high,median_score
Health Care,61,0.005895412154776736,0.12352391162697618,0.13973408998633138,0.016210178359355204,0.6721311475409836,0.7213114754098361,0.01639344262295082,0.636280341632267
Energy,21,0.05421963821103115,0.08319029342746509,0.11455614488739692,0.03136585145993183,0.8095238095238095,0.8095238095238095,0.047619047619047616,0.7586987811389178
Financials,76,-0.030732093284554063,0.062345172032699625,0.0761897397126451,0.013844567679945477,0.3684210526315789,0.8421052631578947,0.0,0.5743218539928765
Communication Services,24,0.0267632585834926,0.03542944541839166,0.011547170577878574,-0.023882274840513085,0.6666666666666666,0.5833333333333334,0.041666666666666664,0.6067297563442409
Materials,25,-0.06019240898190925,0.019135448119955933,-0.012057608110841547,-0.031193056230797482,0.32,0.6,0.0,0.466375397746818
Consumer Staples,35,-0.04656097301700102,-0.013888042415858615,-0.008388793254792252,0.005499249161066363,0.4,0.5142857142857142,0.0,0.47564203189499493
Information Technology,78,-0.054563758891795044,-0.01444682491504018,0.02215731545468147,0.03660414036972165,0.5,0.6666666666666666,0.02564102564102564,0.5259335729220416
Industrials,83,-0.08383688997258287,-0.02725587732303758,-0.027258469722527295,-2.5923994897147917e-06,0.1927710843373494,0.4819277108433735,0.012048192771084338,0.4032595732463307
Consumer Discretionary,49,-0.05909298114703532,-0.04174901738642012,-0.022543290124530907,0.01920572726188921,0.2857142857142857,0.3673469387755102,0.02040816326530612,0.3883336983824963
Utilities,31,-0.04378740160295136,-0.05681248555424823,-0.0593719815624853,-0.002559496008237072,0.06451612903225806,0.12903225806451613,0.0,0.42099913507983605
Real Estate,30,-0.04782401168068645,-0.06156786761363303,-0.05229014408595526,0.009277723527677771,0.13333333333333333,0.5666666666666667,0.0,0.44139914049958434
