sector,n,median_1m,median_3m,mean_3m,concentration,pct_above_50dma,pct_above_200dma,pct_at_52w_high,median_score
Health Care,61,0.00602866942147906,0.1350103894400907,0.15311828837831468,0.018107898938223982,0.6065573770491803,0.7377049180327869,0.0,0.5953409017215794
Financials,76,-0.012448785364850001,0.10362800900427982,0.11288224310605682,0.009254234101777004,0.5263157894736842,0.8421052631578947,0.0,0.6136740252457629
Materials,25,-0.035233693375035235,0.08336098270482784,0.06677938437674552,-0.016581598328082314,0.4,0.6,0.0,0.5032053116047348
Energy,21,0.12610521268890107,0.06704807260812529,0.11683442153477974,0.049786348926654456,0.9523809523809523,0.8571428571428571,0.19047619047619047,0.6946864879092709
Communication Services,24,0.026842750245981706,0.03429812631353368,-0.01055064705430126,-0.044848773367834945,0.6666666666666666,0.5,0.0,0.49444711474271685
Consumer Staples,35,-0.0255315261364204,0.015567601302211909,0.04132335716990618,0.02575575586769427,0.2857142857142857,0.6,0.0,0.4828751864440401
Industrials,83,-0.07309739882371213,0.01272599715714473,0.0037127605499228705,-0.00901323660722186,0.24096385542168675,0.5301204819277109,0.0,0.4196182999355314
Information Technology,78,-0.017572317869807785,0.0031830238508233633,0.006090992229756598,0.002907968378933235,0.5641025641025641,0.6538461538461539,0.01282051282051282,0.494969634893932
Utilities,31,-0.010716222877297343,-0.0020636478595570384,-0.002407108215446136,-0.00034346035588909756,0.12903225806451613,0.3548387096774194,0.0,0.4678276742083519
Real Estate,30,-0.037209235350509295,-0.02227255258222599,-0.01117812360545852,0.01109442897676747,0.23333333333333334,0.6666666666666666,0.0,0.43590149269673417
Consumer Discretionary,49,-0.07315265174914087,-0.02757352941176472,0.009499413704425875,0.037072943116190596,0.30612244897959184,0.3877551020408163,0.0,0.358123619551161
