ticker,what,ret_1w,ret_1m,ret_3m,excess_1w,excess_1m,excess_3m
XLE,Energy,-0.023385709171032554,0.014696961087157234,0.1642095850728853,-0.031889587980569845,0.010551433016047662,0.11683783095634315
XLV,Health Care,0.010130430644246458,-0.027211360496371628,0.09567636653457967,0.0016265518347091668,-0.0313568885674812,0.04830461241803752
XLC,Communication Services,0.01794112306775686,0.010476059850677677,0.08321349704486791,0.009437244258219568,0.006330531779568105,0.03584174292832576
XLK,Technology,0.03656935709461662,0.07261594249800152,0.056169564987438525,0.028065478285079326,0.06847041442689195,0.008797810870896372
SPY,S&P 500 (benchmark),0.00850387880953729,0.004145528071109572,0.04737175411654215,0.0,0.0,0.0
QQQ,Nasdaq 100 (benchmark),0.034804781745710445,0.04383194574768656,0.03558479386525426,0.026300902936173154,0.03968641767657699,-0.011786960251287892
XLF,Financials,-0.020705289996962417,-0.06151620937611135,0.023816477968844785,-0.029209168806499708,-0.06566173744722092,-0.023555276147697368
RSP,S&P 500 equal weight (breadth check),-0.010593207560608997,-0.048336782004284595,-0.0033040924526731574,-0.019097086370146288,-0.05248231007539417,-0.05067584656921531
XLP,Consumer Staples,-0.01500390923222683,-0.04949924344855383,-0.020284533870897237,-0.02350778804176412,-0.0536447715196634,-0.06765628798743939
XLY,Consumer Discretionary,-0.007424548449398438,-0.06262842387773815,-0.02458777143918711,-0.01592842725893573,-0.06677395194884772,-0.07195952555572926
XLB,Materials,-0.01580299787809125,-0.06852135854847619,-0.037256385091709365,-0.024306876687628542,-0.07266688661958576,-0.08462813920825152
IWM,Russell 2000 (small cap),-0.013208103949868377,-0.05625899638094578,-0.05524861482574561,-0.021711982759405668,-0.06040452445205535,-0.10262036894228777
XLRE,Real Estate,-0.02187743700898681,-0.0740612871926869,-0.05807176731298025,-0.0303813158185241,-0.07820681526379647,-0.1054435214295224
XLI,Industrials,0.0016197817418108773,-0.05110004181716332,-0.08057921854855499,-0.0068840970677264135,-0.055245569888272894,-0.12795097266509714
XLU,Utilities,-0.04894667357236526,-0.08452063490936801,-0.13523635196373984,-0.05745055238190255,-0.08866616298047758,-0.182608106080282
