ticker,what,ret_1w,ret_1m,ret_3m,excess_1w,excess_1m,excess_3m
XLE,Energy,-0.0026113390619032506,0.06564910520212508,0.12271688752271181,0.0069682995913891155,0.08216953256544923,0.07536239186420635
XLF,Financials,-0.013701021810925362,-0.01608997089016362,0.09265202998595856,-0.004121383157632996,0.00043045647316053426,0.04529753432745309
XLV,Health Care,-0.04215087259188821,-0.013987208627823322,0.08858746756555624,-0.032571233938595845,0.0025332187355008307,0.041232971907050775
XLK,Technology,0.008823502523600757,-0.004675131035027924,0.04988307222432975,0.018403141176893123,0.011845296328296229,0.002528576565824281
SPY,S&P 500 (benchmark),-0.009579638653292366,-0.016520427363324153,0.04735449565850547,0.0,0.0,0.0
RSP,S&P 500 equal weight (breadth check),-0.024839925814087116,-0.03407496574049618,0.03614762455617049,-0.01526028716079475,-0.017554538377172024,-0.011206871102334981
XLB,Materials,-0.041359818882931276,-0.04658157924019457,0.027213645058100644,-0.03178018022963891,-0.030061151876870418,-0.020140850600404825
QQQ,Nasdaq 100 (benchmark),-0.0007754607756776943,-0.013584813974242826,0.02274617651937061,0.008804177877614672,0.0029356133890813263,-0.02460831913913486
IWM,Russell 2000 (small cap),-0.021461846022262532,-0.044154219271528294,0.022457760805059568,-0.011882207368970166,-0.02763379190820414,-0.0248967348534459
XLI,Industrials,-0.012906561773898262,-0.08158316718070246,0.007719030047110609,-0.003326923120605896,-0.06506273981737831,-0.03963546561139486
XLC,Communication Services,-0.008183581070360213,0.0020670743585209372,0.007027022408470307,0.001396057582932153,0.01858750172184509,-0.04032747325003516
XLY,Consumer Discretionary,-0.02524814130653552,-0.06105332866253654,-0.011515529869839058,-0.015668502653243155,-0.04453290129921239,-0.05887002552834453
XLP,Consumer Staples,-0.028528030822290495,-0.018892502744023543,-0.021329725420223267,-0.01894839216899813,-0.00237207538069939,-0.06868422107872874
XLU,Utilities,-0.003515296874111562,-0.02544122354291556,-0.027465653318763494,0.006064341779180804,-0.008920796179591406,-0.07482014897726896
XLRE,Real Estate,-0.015549972840018134,-0.023366664047379748,-0.034735761959914346,-0.0059703341867257675,-0.0068462366840555955,-0.08209025761841982
